timestamp,byte
63.957571,70
63.957586,223
63.958647,38
63.958663,24
63.958678,210
63.958694,210
63.958709,32
63.958724,81
63.95874,243
63.958755,125
63.95877,169
63.958786,112
63.958647,97
63.958663,53
63.958678,13
63.958694,203
63.958709,47
63.958724,104
63.95874,117
63.958755,114
63.95877,41
63.958786,164
63.958801,116
63.958816,127
63.958647,245
63.958663,146
63.958678,224
63.958694,149
63.958709,57
63.958724,4
63.958647,210
63.958663,65
63.958678,40
63.958694,35
63.958709,38
63.958724,58
63.95874,207
63.958755,215
63.95877,65
63.958786,85
63.958801,76
63.958816,62
63.958832,237
63.958847,55
63.958647,203
63.958663,149
63.958678,140
63.958694,187
63.958709,177
63.958724,73
63.95874,193
63.958755,100
63.95877,143
63.958786,97
64.453778,145
64.453793,135
64.453809,103
64.453824,13
128.379719,167
128.379735,135
128.37975,183
128.379765,191
128.379781,115
128.379796,184
128.379811,233
128.379827,58
128.379842,233
128.379857,142
128.379873,137
128.379888,139
128.380734,1
128.38075,8
128.382185,88
128.382201,102
128.382216,233
128.382231,34
128.382247,2
128.382262,37
128.383185,218
128.383201,136
128.383185,12
128.383201,125
128.383216,125
128.383231,139
128.383247,227
128.383262,230
128.383277,94
128.383293,8
128.383308,41
128.383323,199
128.383185,60
128.383201,141